detector,parameter,percentile,flagged_rate_%,auc,precision,recall,f1,tp,fp,tn,fn
Rolling Z-score,window=48h,90.0,10.004128250997661,0.5285646839621072,0.11691884456671252,0.11707988980716254,0.1169993117687543,85,642,5899,641
Matrix Profile,m=12h,90.0,10.004128250997661,0.4909359610475648,0.1155433287482806,0.11570247933884298,0.11562284927735719,84,643,5898,642
LOF,"window=6h, k=20",90.0,10.004128250997661,0.48369513258812924,0.0907840440165062,0.09090909090909091,0.09084652443220922,66,661,5880,660
Isolation Forest,window=48h,95.0,5.008944543828265,0.7912824089458188,0.532967032967033,0.26721763085399447,0.3559633027522936,194,170,6371,532
