detector,parameter,percentile,flagged_rate_%,auc,precision,recall,f1,tp,fp,tn,fn,group
Rolling Z-score,window=48h,99.0,1.0045410760974267,0.5285646839621072,0.3013698630136986,0.030303030303030304,0.05506883604505632,22,51,6490,704,standalone
Matrix Profile,m=12h,95.0,5.008944543828265,0.4909359610475648,0.12912087912087913,0.06473829201101929,0.08623853211009175,47,317,6224,679,standalone
LOF,"window=6h, k=20",99.0,1.0045410760974267,0.48369513258812924,0.0136986301369863,0.0013774104683195593,0.0025031289111389237,1,72,6469,725,standalone
Isolation Forest,window=48h,99.0,1.0045410760974267,0.7912824089458188,0.9726027397260274,0.09779614325068871,0.17772215269086358,71,2,6539,655,standalone
MP@p95 OR Z@p99,fixed,,6.013485619925691,,0.15789473684210525,0.09504132231404959,0.11865864144453998,69,368,6173,657,fixed_hybrid
MP@p95 OR Z@p99 OR IF@p99,fixed,,6.99050502270538,,0.27165354330708663,0.19008264462809918,0.22366288492706646,138,370,6171,588,fixed_hybrid
MP@p95 OR Z@p99 OR LOF@p99,fixed,,6.962983349387643,,0.1383399209486166,0.09641873278236915,0.11363636363636363,70,436,6105,656,fixed_hybrid
MP@p99 OR Z@p99 OR IF@p95,grid_search,,6.75657079950461,,0.4378818737270876,0.29614325068870523,0.3533278553820871,215,276,6265,511,tuned_hybrid
