detector,parameter,percentile,threshold,flagged_points,flagged_rate_%,auc,precision,recall,f1,tp,fp,tn,fn,n_eval
Isolation Forest,window=48h,90.0,0.5088267634912716,727,10.004128250997661,0.7912824089458188,0.3356258596973865,0.33608815426997246,0.3358568479008947,244,483,6058,482,7267
Isolation Forest,window=48h,92.0,0.5192546708495505,582,8.008806935461676,0.7912824089458188,0.38831615120274915,0.31129476584022037,0.345565749235474,226,356,6185,500,7267
Isolation Forest,window=48h,95.0,0.5521145861141614,364,5.008944543828265,0.7912824089458188,0.532967032967033,0.26721763085399447,0.3559633027522936,194,170,6371,532,7267
Isolation Forest,window=48h,97.0,0.5959098956330237,218,2.9998623916334113,0.7912824089458188,0.6743119266055045,0.2024793388429752,0.3114406779661017,147,71,6470,579,7267
Isolation Forest,window=48h,98.0,0.6219906684811574,146,2.0090821521948534,0.7912824089458188,0.7328767123287672,0.14738292011019283,0.24541284403669725,107,39,6502,619,7267
Isolation Forest,window=48h,99.0,0.6582838948207433,73,1.0045410760974267,0.7912824089458188,0.9726027397260274,0.09779614325068871,0.17772215269086358,71,2,6539,655,7267
Isolation Forest,window=48h,99.5,0.6858395879043512,37,0.5091509563781478,0.7912824089458188,1.0,0.05096418732782369,0.09698558322411534,37,0,6541,689,7267
Isolation Forest,window=48h,99.9,0.7146069359031282,8,0.11008669327095087,0.7912824089458188,1.0,0.011019283746556474,0.021798365122615803,8,0,6541,718,7267
