detector,parameter,percentile,threshold,flagged_points,flagged_rate_%,auc,precision,recall,f1,tp,fp,tn,fn,n_eval
Rolling Z-score,window=48h,90.0,1.9618615113881033,727,10.004128250997661,0.5285646839621072,0.11691884456671252,0.11707988980716254,0.1169993117687543,85,642,5899,641,7267
Rolling Z-score,window=48h,92.0,2.052402690752,582,8.008806935461676,0.5285646839621072,0.12371134020618557,0.09917355371900827,0.11009174311926606,72,510,6031,654,7267
Rolling Z-score,window=48h,95.0,2.267401904240304,364,5.008944543828265,0.5285646839621072,0.13186813186813187,0.06611570247933884,0.08807339449541285,48,316,6225,678,7267
Rolling Z-score,window=48h,97.0,2.5133716943799493,218,2.9998623916334113,0.5285646839621072,0.16055045871559634,0.048209366391184574,0.07415254237288135,35,183,6358,691,7267
Rolling Z-score,window=48h,98.0,2.724585907467929,146,2.0090821521948534,0.5285646839621072,0.18493150684931506,0.0371900826446281,0.06192660550458716,27,119,6422,699,7267
Rolling Z-score,window=48h,99.0,3.0736821262882095,73,1.0045410760974267,0.5285646839621072,0.3013698630136986,0.030303030303030304,0.05506883604505632,22,51,6490,704,7267
Rolling Z-score,window=48h,99.5,3.5281940230374293,37,0.5091509563781478,0.5285646839621072,0.2702702702702703,0.013774104683195593,0.02621231979030144,10,27,6514,716,7267
Rolling Z-score,window=48h,99.9,5.236151344025052,8,0.11008669327095087,0.5285646839621072,0.25,0.0027548209366391185,0.005449591280653951,2,6,6535,724,7267
