detector,parameter,percentile,threshold,flagged_points,flagged_rate_%,auc,precision,recall,f1,tp,fp,tn,fn,n_eval
LOF,"window=6h, k=20",90.0,1.2515862974260574,727,10.004128250997661,0.48369513258812924,0.0907840440165062,0.09090909090909091,0.09084652443220922,66,661,5880,660,7267
LOF,"window=6h, k=20",92.0,1.3088481160078147,582,8.008806935461676,0.48369513258812924,0.0859106529209622,0.06887052341597796,0.0764525993883792,50,532,6009,676,7267
LOF,"window=6h, k=20",95.0,1.6196991083641434,364,5.008944543828265,0.48369513258812924,0.09615384615384616,0.048209366391184574,0.06422018348623854,35,329,6212,691,7267
LOF,"window=6h, k=20",97.0,2.2258052829967334,218,2.9998623916334113,0.48369513258812924,0.07339449541284404,0.02203856749311295,0.03389830508474576,16,202,6339,710,7267
LOF,"window=6h, k=20",98.0,2.973435120910082,146,2.0090821521948534,0.48369513258812924,0.0547945205479452,0.011019283746556474,0.01834862385321101,8,138,6403,718,7267
LOF,"window=6h, k=20",99.0,4.376959565620132,73,1.0045410760974267,0.48369513258812924,0.0136986301369863,0.0013774104683195593,0.0025031289111389237,1,72,6469,725,7267
LOF,"window=6h, k=20",99.5,5.487834185309297,37,0.5091509563781478,0.48369513258812924,0.0,0.0,0.0,0,37,6504,726,7267
LOF,"window=6h, k=20",99.9,33.504918713156066,8,0.11008669327095087,0.48369513258812924,0.0,0.0,0.0,0,8,6533,726,7267
