auc,precision,recall,f1,tn,fp,fn,tp,flagged_points,flagged_rate_%,n_eval,hybrid,thresholds
0.5193904058443815,0.15789473684210525,0.09504132231404959,0.11865864144453998,6173,368,657,69,437,6.013485619925691,7267,MP@p95 OR Z@p99,"{'MP': 2.0441557230389535, 'Z': 3.0736821262882095}"
0.566758185179055,0.27165354330708663,0.19008264462809918,0.22366288492706646,6171,370,588,138,508,6.99050502270538,7267,MP@p95 OR Z@p99 OR IF@p99,"{'MP': 2.0441557230389535, 'Z': 3.0736821262882095, 'IF': 0.6582838948207433}"
0.5148811291185963,0.1383399209486166,0.09641873278236915,0.11363636363636363,6105,436,656,70,506,6.962983349387643,7267,MP@p95 OR Z@p99 OR LOF@p99,"{'MP': 2.0441557230389535, 'Z': 3.0736821262882095, 'LOF': 4.376959565620132}"
