detector,parameter,percentile,flagged_rate_%,auc,precision,recall,f1,tp,fp,tn,fn
Rolling Z-score,window=48h,99.0,1.0045410760974267,0.5285646839621072,0.3013698630136986,0.030303030303030304,0.05506883604505632,22,51,6490,704
Matrix Profile,m=12h,95.0,5.008944543828265,0.4909359610475648,0.12912087912087913,0.06473829201101929,0.08623853211009175,47,317,6224,679
LOF,"window=6h, k=20",99.0,1.0045410760974267,0.48369513258812924,0.0136986301369863,0.0013774104683195593,0.0025031289111389237,1,72,6469,725
Isolation Forest,window=48h,99.0,1.0045410760974267,0.7912824089458188,0.9726027397260274,0.09779614325068871,0.17772215269086358,71,2,6539,655
