method,roc_auc,average_precision_pr_auc
MSTUMP_3D,0.7695150438436513,0.6514838045417097
MP_univariate_max,0.7019862209878684,0.6154208986686299
MP_humidity,0.623188082952794,0.5990899894010067
MP_univariate_mean,0.6870697207722615,0.5879019006735512
MP_temperature,0.5459940927182205,0.458082069817851
MSTUMP_2D,0.5993727647027453,0.4550888424395514
MSTUMP_1D,0.5375303156222975,0.4337680610368342
MP_power_consumption,0.45441128049082813,0.37106275107308384
